Date,Close/Last,Volume,Open,High,Low
2020-10-07,216.96,1169069,221.86,223.84,214.66
2020-10-08,214.0,998502,217.86,219.5572,211.25
2020-10-09,213.45,930479,214.87,215.51,211.69
2020-10-12,209.5,829408,216.0,217.0,208.4861
2020-10-13,216.85,1918235,210.52,225.25,210.52
2020-10-14,213.22,1158212,219.135,220.53,207.0
2020-10-15,224.39,2167888,210.0,224.83,209.71
2020-10-16,221.34,1735397,223.99,227.1,215.1
2020-10-19,213.68,1315796,222.96,229.0,212.59
2020-10-20,199.98,2544992,209.91,212.48,199.08
2020-10-21,192.23,1305058,202.38,204.5,191.02
2020-10-22,202.2,1379404,193.37,203.07,190.42
2020-10-23,202.64,805765,201.51,204.5,197.05
2020-10-26,201.38,1453718,199.11,202.915,196.12
2020-10-27,208.32,1413265,202.39,209.95,201.0
2020-10-28,203.0,1506868,203.29,205.5,197.7486
2020-10-29,191.19,2072784,205.0,205.7,190.21
2020-10-30,185.35,4703642,199.32,213.99,179.24
2020-11-02,185.01,1962413,187.2,189.9,180.13
2020-11-03,191.0,1183176,186.97,194.79,185.64
2020-11-04,201.2,1817885,196.01,201.7,193.46
2020-11-05,204.51,1110941,205.82,210.0,202.44
2020-11-06,210.0,1427775,205.14,211.69,196.265
2020-11-09,194.15,2005603,201.25,207.47,194.01
2020-11-10,192.49,1945223,191.38,194.93,182.06
2020-11-11,207.25,1643651,194.25,207.45,193.37
2020-11-12,214.74,2102809,205.3,217.15,204.2921
2020-11-13,211.08,1234239,216.54,220.425,207.96
2020-11-16,210.01,986973,206.0,214.49,205.65
2020-11-17,221.59,1516645,210.16,223.71,208.51
2020-11-18,224.18,1614547,221.0,231.19,220.27
2020-11-19,227.0,1598133,225.07,230.64,222.0
2020-11-20,234.3,1412686,228.0,236.432,226.89
2020-11-23,240.08,2708686,237.67,244.53,236.095
2020-11-24,236.72,1802179,239.9,246.095,231.75
2020-11-25,238.16,1055902,235.81,243.2639,232.54
2020-11-27,249.14,1213028,242.41,250.66,240.6
2020-11-30,250.21,3863770,251.08,251.6748,235.82
2020-12-01,251.13,1338471,251.5,252.36,242.255
2020-12-02,225.45,3184674,229.23,238.78,223.48
2020-12-03,227.92,1261129,227.51,232.5,224.02
2020-12-04,243.09,2200189,232.06,243.17,228.94
